Mun;Referen;N.Fijo ;D;Pal;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic
069;8497323;5071221;J; ;002;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;  6;G ;    10,00;
069;8497323;5071221;J; ;003;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;   ;T ;     4,00;
069;8497323;5071222;R;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;  4;G ;    12,00;
069;8497323;5071223;C;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;  5;G ;    11,00;
069;8497323;5071224;K;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;   ;T ;     4,00;
069;8497323;5071225;S;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;SM;   ;T ;     4,00;
069;8497323;5071226;D;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;01;   ;V ;   143,00;
069;8497323;5071227;L;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;02;   ;V ;   143,00;
069;8497323;5071228;T;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;048 ;  ;03;   ;V ;   143,00;
069;8497324;0166936;S; ;001;001;4830;ULIA, PASEO DE                ;364 ;  ;SM;   ;V ;    40,37;
069;8497324;0166936;S;P;002;001;4830;ULIA, PASEO DE                ;364 ;  ;01;   ;V ;    80,75;
069;8497324;6012328;L;P;001;001;4830;ULIA, PASEO DE                ;364 ;  ;02;   ;V ;    80,75;
069;8497324;6012328;L; ;002;001;4830;ULIA, PASEO DE                ;364 ;  ;SM;A  ;V ;    40,37;
069;8497325;6074180;K;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;00;B  ;V ;    67,22;
069;8497325;6074180;K; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;007;P ;    20,14;
069;8497325;6074180;K; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;006;T ;     5,15;
069;8497325;6074181;S;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;00;A  ;V ;    76,53;
069;8497325;6074181;S; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;015;P ;    25,90;
069;8497325;6074181;S; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;005;T ;     5,15;
069;8497325;6074182;D;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;01;B  ;V ;    88,38;
069;8497325;6074182;D; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;005;P ;    20,03;
069;8497325;6074182;D; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;008;T ;     4,52;
069;8497325;6074183;L;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;01;A  ;V ;    76,28;
069;8497325;6074183;L; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;006;P ;    20,03;
069;8497325;6074183;L; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;007;T ;     5,72;
069;8497325;6074184;T;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;02;B  ;V ;    88,38;
069;8497325;6074184;T; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;003;P ;    20,65;
069;8497325;6074184;T; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;003;T ;     5,50;
069;8497325;6074185;E;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;02;A  ;V ;    76,28;
069;8497325;6074185;E; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;004;P ;    20,65;
069;8497325;6074185;E; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;004;T ;     4,52;
069;8497325;6074186;M;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;03;B  ;V ;    58,87;
069;8497325;6074186;M; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;001;P ;    20,64;
069;8497325;6074186;M; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;001;T ;     4,93;
069;8497325;6074187;U;P;001;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;03;A  ;V ;    62,60;
069;8497325;6074187;U; ;002;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;002;P ;    20,08;
069;8497325;6074187;U; ;003;001;7380;FERNANDO SASIAIN KALEA        ;010 ;  ;-1;002;T ;     4,93;
069;8497325;6074188;F;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;00;B  ;V ;    74,69;
069;8497325;6074188;F; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;016;P ;    29,71;
069;8497325;6074188;F; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;009;T ;     3,49;
069;8497325;6074189;N;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;00;A  ;V ;    67,22;
069;8497325;6074189;N; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;008;P ;    20,14;
069;8497325;6074189;N; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;010;T ;     4,00;
069;8497325;6074190;L;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;01;B  ;V ;    76,28;
069;8497325;6074190;L; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;010;P ;    20,03;
069;8497325;6074190;L; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;012;T ;     4,52;
069;8497325;6074191;T;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;01;A  ;V ;    88,38;
069;8497325;6074191;T; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;009;P ;    20,03;
069;8497325;6074191;T; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;011;T ;     4,45;
069;8497325;6074192;E;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;02;B  ;V ;    76,28;
069;8497325;6074192;E; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;012;P ;    20,65;
069;8497325;6074192;E; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;014;T ;     4,93;
069;8497325;6074193;M;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;02;A  ;V ;    88,38;
069;8497325;6074193;M; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;011;P ;    20,65;
069;8497325;6074193;M; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;013;T ;     4,93;
069;8497325;6074194;U;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;03;B  ;V ;    62,60;
069;8497325;6074194;U; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;014;P ;    20,64;
069;8497325;6074194;U; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;016;T ;     4,52;
069;8497325;6074195;F;P;001;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;03;A  ;V ;    58,87;
069;8497325;6074195;F; ;002;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;013;P ;    20,08;
069;8497325;6074195;F; ;003;001;7380;FERNANDO SASIAIN KALEA        ;012 ;  ;-1;015;T ;     5,50;
069;8497326;3195287;W;P;001;001;5160;ZUBIAURRE, PASEO DE           ;059 ;  ;02;   ;V ;    79,00;
069;8497326;3195288;H;P;001;001;5160;ZUBIAURRE, PASEO DE           ;059 ;  ;01;   ;V ;    79,00;
