Mun;Referen;N.Fijo ;D;Pal;Nlo;Nuc;Cvia;Descripción Vía               ;Npor;Es;Pl;Man;De;Superfic
069;8597070;3040214;X;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;05;D  ;V ;    70,00;
069;8597070;3040215;W;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;05;A  ;V ;    80,00;
069;8597070;3040219;Y;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;02;D  ;V ;    80,00;
069;8597070;3040220;G;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;01;C  ;V ;    75,00;
069;8597070;3040221;X;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;01;D  ;V ;    75,00;
069;8597070;5001498;J;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;05;C  ;V ;    80,00;
069;8597070;5148001;V;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;114 ;  ;06;B  ;V ;    56,00;
069;8597071;0136120;T;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;03;C  ;V ;    80,00;
069;8597071;0136121;E;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;06;C  ;V ;    37,00;
069;8597071;0136123;U;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;02;C  ;V ;    78,38;
069;8597071;0136124;F;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;06;A  ;V ;    84,00;
069;8597071;0136125;N;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;04;A  ;V ;    80,00;
069;8597071;0136126;V;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;03;B  ;V ;    80,00;
069;8597071;0136127;G;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;04;C  ;V ;    78,38;
069;8597071;0136128;X;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;02;A  ;V ;    78,95;
069;8597071;0136129;W;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;01;D  ;V ;    84,50;
069;8597071;0136130;U;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;00;   ;C ;    37,00;
069;8597071;0136131;F;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;00;   ;C ;   173,20;
069;8597071;0136132;N;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;00;  4;C ;   170,00;
069;8597071;0136133;V;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;01;B  ;V ;    74,50;
069;8597071;0136136;W;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;05;D  ;V ;    84,00;
069;8597071;0136137;H;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;01;C  ;V ;    78,38;
069;8597071;0136138;P;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;03;D  ;V ;    78,00;
069;8597071;0136139;A;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;01;A  ;V ;    84,00;
069;8597071;0136140;V;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;02;D  ;V ;    78,98;
069;8597071;0136141;G;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;03;A  ;V ;    84,00;
069;8597071;0136142;X;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;05;C  ;V ;    66,00;
069;8597071;0136143;W;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;04;B  ;V ;    80,00;
069;8597071;0136144;H;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;06;D  ;V ;    86,00;
069;8597071;0136145;P;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;05;A  ;V ;    84,50;
069;8597071;0136146;A;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;05;B  ;V ;    85,00;
069;8597071;3071972;Q;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;02;B  ;V ;    78,38;
069;8597071;3072022;J;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;04;D  ;V ;    75,00;
069;8597071;3137370;T;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;113 ;  ;00;   ;C ;    36,00;
069;8597072;3040223;H;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;04;D  ;V ;    85,00;
069;8597072;3040225;A;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;05;B  ;V ;    90,00;
069;8597072;3040226;Y;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;03;C  ;V ;    90,00;
069;8597072;3040227;Q;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;01;B  ;V ;    90,00;
069;8597072;3040228;B;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;04;A  ;V ;    85,00;
069;8597072;3040229;J;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;05;C  ;V ;    90,00;
069;8597072;3040230;H;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;01;C  ;V ;    90,00;
069;8597072;3040231;P;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;03;D  ;V ;    85,00;
069;8597072;3040232;A;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;00;DR ;C ;   327,93;
069;8597072;3040233;Y;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;02;C  ;V ;    90,00;
069;8597072;3040234;Q;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;02;B  ;V ;    90,00;
069;8597072;3040235;B;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;04;C  ;V ;    90,00;
069;8597072;3040236;J;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;06;A  ;V ;    82,00;
069;8597072;3040237;R;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;05;A  ;V ;    85,00;
069;8597072;3040239;K;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;03;B  ;V ;    90,00;
069;8597072;3040240;Y;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;02;A  ;V ;    85,00;
069;8597072;3040241;Q;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;03;A  ;V ;    85,00;
069;8597072;3040242;B;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;01;A  ;V ;    85,00;
069;8597072;3040244;R;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;05;D  ;V ;    85,00;
069;8597072;3040245;C;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;02;D  ;V ;    85,00;
069;8597072;3071973;B;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;04;B  ;V ;    90,00;
069;8597072;3071974;J;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;06;C  ;V ;    85,00;
069;8597072;3194422;X;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;06;B  ;V ;    40,00;
069;8597072;3194423;W;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;01;D  ;V ;    85,00;
069;8597072;5177143;D;P;001;001;0100;ALCALDE JOSE ELOSEGI, AVDA. DE;112 ;  ;00;IZ ;C ;   322,91;
069;8597073;0180414;Q;P;001;001;4110;SAN ANTONIO, CALLE DE         ;015 ;  ;00;   ;R ;   264,00;
069;8597073;0180414;Q; ;002;001;4110;SAN ANTONIO, CALLE DE         ;015 ;  ;SM;   ;R ;   264,00;
069;8597073;0180414;Q; ;003;002;4110;SAN ANTONIO, CALLE DE         ;015 ;  ;00;   ;R ;    72,00;
069;8597074;0179588;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;14;A  ;V ;    71,00;
069;8597074;0179589;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;11;D  ;V ;    71,00;
069;8597074;0179590;B;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;13;C  ;V ;    71,00;
069;8597074;0179591;J;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;04;A  ;V ;    71,00;
069;8597074;0179592;R;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;15;D  ;V ;    71,00;
069;8597074;0179593;C;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;04;B  ;V ;    71,00;
069;8597074;0179596;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;02;D  ;V ;    71,00;
069;8597074;0179597;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;14;D  ;V ;    71,00;
069;8597074;0179598;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;07;C  ;V ;    71,00;
069;8597074;0179599;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;01;C  ;V ;    71,00;
069;8597074;0179600;A;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;06;E  ;V ;    71,00;
069;8597074;0179601;Y;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;11;A  ;V ;    71,00;
069;8597074;0179602;Q;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;06;D  ;V ;    71,00;
069;8597074;0179603;B;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;11;E  ;V ;    71,00;
069;8597074;0179604;J;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;02;C  ;V ;    71,00;
069;8597074;0179605;R;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;15;C  ;V ;    71,00;
069;8597074;0179606;C;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;06;C  ;V ;    71,00;
069;8597074;0179607;K;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;10;A  ;V ;    70,00;
069;8597074;0179608;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;10;B  ;V ;    71,00;
069;8597074;0179609;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;08;D  ;V ;    71,00;
069;8597074;0179611;J;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;08;E  ;V ;    71,00;
069;8597074;0179612;R;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;07;E  ;V ;    71,16;
069;8597074;0179613;C;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;03;D  ;V ;    71,00;
069;8597074;0179614;K;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;01;E  ;V ;    71,00;
069;8597074;0179615;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;04;E  ;V ;    71,00;
069;8597074;0179616;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;15;E  ;V ;    71,00;
069;8597074;0179617;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;03;C  ;V ;    71,00;
069;8597074;0179618;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;11;B  ;V ;    71,00;
069;8597074;0179619;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;05;B  ;V ;    71,00;
069;8597074;0179620;C;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;06;B  ;V ;    71,00;
069;8597074;0179621;K;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;12;C  ;V ;    71,00;
069;8597074;0179622;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;02;B  ;V ;    71,00;
069;8597074;0179623;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;05;E  ;V ;    71,00;
069;8597074;0179624;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;02;A  ;V ;    71,00;
069;8597074;0179625;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;03;A  ;V ;    71,00;
069;8597074;0179626;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;10;E  ;V ;    71,00;
069;8597074;0179627;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;11;C  ;V ;    71,00;
069;8597074;0179628;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;07;D  ;V ;    71,00;
069;8597074;0179629;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;02;E  ;V ;    71,00;
069;8597074;0179630;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;16;D  ;V ;    71,00;
069;8597074;0179632;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;12;D  ;V ;    71,00;
069;8597074;0179633;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;14;B  ;V ;    71,00;
069;8597074;0179634;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;08;B  ;V ;    71,00;
069;8597074;0179635;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;04;D  ;V ;    71,00;
069;8597074;0179636;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;10;C  ;V ;    71,00;
069;8597074;0179637;N;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;08;C  ;V ;    71,00;
069;8597074;0179638;V;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;09;D  ;V ;    71,00;
069;8597074;0179639;G;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;05;A  ;V ;    71,00;
069;8597074;0179640;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;12;B  ;V ;    71,00;
069;8597074;0179642;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;05;C  ;V ;    71,00;
069;8597074;0179644;N;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;12;A  ;V ;    71,00;
069;8597074;0179647;X;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;03;B  ;V ;    71,00;
069;8597074;0179650;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;15;B  ;V ;    71,00;
069;8597074;0179651;N;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;03;E  ;V ;    71,00;
069;8597074;0179652;V;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;01;B  ;V ;    70,96;
069;8597074;0179653;G;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;09;E  ;V ;    71,00;
069;8597074;0179654;X;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;06;A  ;V ;    71,00;
069;8597074;0179655;W;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;04;C  ;V ;    71,00;
069;8597074;0179658;A;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;15;A  ;V ;    71,00;
069;8597074;0179659;Y;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;09;C  ;V ;    71,00;
069;8597074;0179662;W;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;07;A  ;V ;    71,00;
069;8597074;0179663;H;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;16;C  ;V ;    71,00;
069;8597074;0179664;P;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;05;D  ;V ;    71,00;
069;8597074;0179665;A;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;10;D  ;V ;    71,00;
069;8597074;0179666;Y;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;08;A  ;V ;    71,00;
069;8597074;3043718;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;00;   ;T ;    70,00;
069;8597074;3044615;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;13;A  ;V ;    71,00;
069;8597074;3044616;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;14;E  ;V ;    71,00;
069;8597074;3044617;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  1;G ;    15,00;
069;8597074;3044619;V;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;13;B  ;V ;    71,00;
069;8597074;3044620;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;09;B  ;V ;    71,00;
069;8597074;3044621;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;01;A  ;V ;    71,00;
069;8597074;3082007;J;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;07;B  ;V ;    70,96;
069;8597074;3141392;Q;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;16;A  ;V ;    71,00;
069;8597074;3141393;B;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;16;B  ;V ;    71,00;
069;8597074;3169639;W;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;13;D  ;V ;    71,00;
069;8597074;3199393;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;12;E  ;V ;    71,00;
069;8597074;3219294;J;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;13;E  ;V ;    71,00;
069;8597074;4003753;G;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;14;C  ;V ;    71,00;
069;8597074;4003754;X;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;01;D  ;V ;    71,00;
069;8597074;4031757;X;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;09;A  ;V ;    71,00;
069;8597074;5005596;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;16;E  ;V ;    71,00;
069;8597074;5024776;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  2;G ;    15,00;
069;8597074;5024777;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  4;T ;    13,00;
069;8597074;5024778;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  3;G ;    14,00;
069;8597074;5024779;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  5;T ;    13,00;
069;8597074;5024780;K;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  6;T ;    12,00;
069;8597074;5024781;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  7;T ;     6,00;
069;8597074;5024782;D;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  8;T ;     6,00;
069;8597074;5024783;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  9;T ;     6,00;
069;8597074;5024784;T;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 10;T ;     6,00;
069;8597074;5024785;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 11;T ;     6,00;
069;8597074;5024786;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 12;T ;    13,00;
069;8597074;5024787;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 13;T ;     7,00;
069;8597074;5024788;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 14;T ;     1,30;
069;8597074;5024789;N;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 15;T ;     5,00;
069;8597074;5024790;L;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 16;T ;     7,00;
069;8597074;5024790;L; ;002;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 17;T ;     9,00;
069;8597074;5024792;E;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 18;T ;     5,00;
069;8597074;5024793;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 19;T ;     7,00;
069;8597074;5024794;U;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 20;T ;     6,00;
069;8597074;5024795;F;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 21;T ;     6,00;
069;8597074;5024796;N;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;022;T ;    13,40;
069;8597074;5024798;G;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 24;T ;    15,00;
069;8597074;5024799;X;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;24B;G ;    20,00;
069;8597074;5024800;K;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM; 25;G ;    12,00;
069;8597074;5024801;S;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;SM;  7;G ;    12,00;
069;8597074;6003916;M;P;001;001;4470;SERAPIO MUJIKA, PASEO DE      ;003 ;  ;00;   ;V ;    74,34;
069;8597075;6066216;H;P;001;001;2185;MACONDO                       ;007 ;  ;00;A  ;X ;    68,25;
069;8597075;6066216;H; ;002;001;2185;MACONDO                       ;007 ;  ;-1;A  ;X ;    62,20;
069;8597075;6066216;H; ;003;001;2185;MACONDO                       ;007 ;  ;00;A  ;Z ;    33,20;
069;8597075;6066220;G;P;001;001;2185;MACONDO                       ;007 ;  ;00;B  ;X ;    79,70;
069;8597075;6066220;G; ;002;001;2185;MACONDO                       ;007 ;  ;-1;B  ;X ;    56,60;
069;8597075;6066220;G; ;003;001;2185;MACONDO                       ;007 ;  ;00;B  ;Z ;    44,25;
069;8597075;6066221;X;P;001;001;2185;MACONDO                       ;007 ;  ;00;C  ;V ;    85,00;
069;8597075;6066221;X; ;002;001;2185;MACONDO                       ;007 ;  ;00;C  ;Z ;    44,25;
069;8597075;6066222;W;P;001;001;2185;MACONDO                       ;007 ;  ;00;D  ;V ;    78,80;
069;8597075;6066222;W; ;002;001;2185;MACONDO                       ;007 ;  ;00;D  ;Z ;    42,35;
069;8597075;6066223;H;P;001;001;2185;MACONDO                       ;007 ;  ;01;A  ;V ;    84,85;
069;8597075;6066223;H; ;002;001;2185;MACONDO                       ;007 ;  ;BC;003;T ;     5,79;
069;8597075;6066224;P;P;001;001;2185;MACONDO                       ;007 ;  ;01;B  ;V ;    87,60;
069;8597075;6066224;P; ;002;001;2185;MACONDO                       ;007 ;  ;BC;010;T ;     5,84;
069;8597075;6066225;A;P;001;001;2185;MACONDO                       ;007 ;  ;01;C  ;V ;    88,45;
069;8597075;6066225;A; ;002;001;2185;MACONDO                       ;007 ;  ;BC;009;T ;     5,84;
069;8597075;6066226;Y;P;001;001;2185;MACONDO                       ;007 ;  ;01;D  ;V ;    85,70;
069;8597075;6066226;Y; ;002;001;2185;MACONDO                       ;007 ;  ;BC;004;T ;     5,83;
069;8597075;6066227;Q;P;001;001;2185;MACONDO                       ;007 ;  ;02;A  ;V ;    84,85;
069;8597075;6066227;Q; ;002;001;2185;MACONDO                       ;007 ;  ;BC;002;T ;     8,39;
069;8597075;6066228;B;P;001;001;2185;MACONDO                       ;007 ;  ;02;B  ;V ;    87,60;
069;8597075;6066228;B; ;002;001;2185;MACONDO                       ;007 ;  ;BC;011;T ;    11,21;
069;8597075;6066229;J;P;001;001;2185;MACONDO                       ;007 ;  ;02;C  ;V ;    87,60;
069;8597075;6066229;J; ;002;001;2185;MACONDO                       ;007 ;  ;BC;008;T ;    11,22;
069;8597075;6066230;H;P;001;001;2185;MACONDO                       ;007 ;  ;02;D  ;V ;    84,85;
069;8597075;6066230;H; ;002;001;2185;MACONDO                       ;007 ;  ;BC;005;T ;     8,83;
069;8597075;6066231;P;P;001;001;2185;MACONDO                       ;007 ;  ;03;A  ;V ;    84,85;
069;8597075;6066231;P; ;002;001;2185;MACONDO                       ;007 ;  ;BC;001;T ;     7,86;
069;8597075;6066232;A;P;001;001;2185;MACONDO                       ;007 ;  ;03;B  ;V ;    87,60;
069;8597075;6066232;A; ;002;001;2185;MACONDO                       ;007 ;  ;BC;012;T ;     8,36;
069;8597075;6066233;Y;P;001;001;2185;MACONDO                       ;007 ;  ;03;C  ;V ;    87,60;
069;8597075;6066233;Y; ;002;001;2185;MACONDO                       ;007 ;  ;BC;007;T ;     8,37;
069;8597075;6066234;Q;P;001;001;2185;MACONDO                       ;007 ;  ;03;D  ;V ;    84,85;
069;8597075;6066234;Q; ;002;001;2185;MACONDO                       ;007 ;  ;BC;006;T ;     7,29;
069;8597076;3073393;D;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;00;  2;C ;    30,00;
069;8597076;3073393;D; ;002;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;00;  3;C ;    39,00;
069;8597076;3073394;L;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;02;A  ;V ;    62,00;
069;8597076;3073396;E;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;03;A  ;V ;    59,00;
069;8597076;3073397;M;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;04;D  ;V ;    60,00;
069;8597076;3073398;U;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;02;B  ;V ;    69,00;
069;8597076;3073400;B;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;01;B  ;V ;    69,00;
069;8597076;3073402;R;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;02;D  ;V ;    62,00;
069;8597076;3073404;K;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;01;C  ;V ;    69,00;
069;8597076;3073407;L;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;04;B  ;V ;    69,00;
069;8597076;3073411;K;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;01;D  ;V ;    62,00;
069;8597076;3073412;S;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;00;  5;C ;    19,00;
069;8597076;3073412;S; ;002;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;00;  6;C ;    20,00;
069;8597076;3073414;L;P;001;001;5160;ZUBIAURRE, PASEO DE           ;065 ;  ;02;C  ;V ;    72,50;
